,SPY,QQQ,IWM,EFA,EEM,VNQ,GLD,BND
SPY,,0.9336459848910703,0.8704124935174675,0.8497717871972649,0.7546681238530619,0.7303200864017647,0.040114676329371594,0.1084022810216699
QQQ,0.9336459848910703,,0.7723370967446992,0.7565227537268914,0.7222186261588324,0.5918325416760323,0.0484315228598815,0.10966442093668641
IWM,0.8704124935174675,0.7723370967446992,,0.7914198011890358,0.6967499236288665,0.7240178928243414,0.039477314127852624,0.10412978577702663
EFA,0.8497717871972649,0.7565227537268914,0.7914198011890358,,0.8340294640268228,0.6667719876435528,0.13495266180299834,0.14453326605266795
EEM,0.7546681238530619,0.7222186261588324,0.6967499236288665,0.8340294640268228,,0.557422905288208,0.16251937196114685,0.1143184921477161
VNQ,0.7303200864017647,0.5918325416760323,0.7240178928243414,0.6667719876435528,0.557422905288208,,0.13363433955552012,0.28060784415827167
GLD,0.040114676329371594,0.0484315228598815,0.039477314127852624,0.13495266180299834,0.16251937196114685,0.13363433955552012,,0.34471229527960306
BND,0.1084022810216699,0.10966442093668641,0.10412978577702663,0.14453326605266795,0.1143184921477161,0.28060784415827167,0.34471229527960306,
