Return,Volatility,Sharpe_Ratio,Excess_Return
0.08784618737842857,0.14627296050639274,0.2929193969281562,0.042846187378428574
0.08974785754358991,0.16172687640472186,0.2766878241783901,0.04474785754358991
0.08488740857479822,0.14754578108573538,0.27033920103496956,0.03988740857479822
0.09900054284441251,0.14712439025213422,0.3670400451744891,0.05400054284441251
0.09138627682971195,0.14499719356762622,0.31991154924027926,0.046386276829711956
0.07523708265234991,0.13497237234104556,0.22402423642630684,0.03023708265234991
0.06737101216479185,0.13756973568636136,0.16261579665889928,0.022371012164791856
0.0763235280138749,0.1125173157065846,0.2783885112897501,0.031323528013874904
0.08586701254334136,0.1387888416985968,0.2944545976692487,0.040867012543341366
0.08966625821755342,0.16469355691370852,0.27120829165743493,0.04466625821755342
0.09230981613184895,0.1270598323687904,0.3723428187323,0.04730981613184895
0.08324296785685156,0.1349715643016134,0.2833409248439334,0.038242967856851565
0.08584283626529023,0.1292609162878306,0.31597204660335076,0.04084283626529023
0.0925361370920442,0.15436378617680524,0.30794876356295925,0.0475361370920442
0.0894801309837763,0.14082165750574574,0.31586143617121853,0.0444801309837763
0.0927357994818836,0.12397392146064123,0.385047104418961,0.0477357994818836
0.08943761843801204,0.12136562036346174,0.3661466756807384,0.04443761843801204
0.08543537755825924,0.15154794374244465,0.2668157452995803,0.04043537755825924
0.08070430521691123,0.12485057222351292,0.28597630416136044,0.03570430521691123
0.07055590736044305,0.14733451376402032,0.17345499508265189,0.025555907360443053
0.08891109607233737,0.15961578863888473,0.2751049657855713,0.04391109607233737
0.09080738316527005,0.14564267434802983,0.3145189647905536,0.045807383165270055
0.08255618601311335,0.12150065125427242,0.309102754803487,0.03755618601311335
0.0759089399911157,0.14322306208777702,0.215809797252991,0.0309089399911157
0.08186582298120941,0.13128338095569322,0.2808110418305821,0.03686582298120941
0.06903526246969136,0.13582252962983307,0.17696079240459142,0.024035262469691357
0.0725931032776389,0.13696087835634077,0.2014670437922279,0.027593103277638906
0.08226442552070014,0.16236242361995418,0.22951385357443246,0.03726442552070014
0.07211840922564981,0.1395284937262355,0.19435750004481522,0.027118409225649814
0.09679951443368741,0.13886524587738097,0.3730200029993593,0.05179951443368741
0.0875246243472244,0.14267464025755347,0.29805313873902034,0.0425246243472244
0.0902038336710797,0.15366277912289636,0.29417555721107064,0.045203833671079705
0.08488127008577448,0.1576977662071598,0.2528968611602552,0.03988127008577448
0.0876849678072879,0.1323914205729771,0.32241490893104363,0.04268496780728791
0.08554014322975234,0.13844671402821587,0.29282127433873323,0.04054014322975234
0.08701109573643623,0.13341727275654822,0.3148849835440389,0.04201109573643623
0.0788837495986873,0.1438410522679531,0.23556383288664517,0.0338837495986873
0.08152823260612095,0.12891823041154754,0.2833441980200267,0.03652823260612095
0.10028433498758238,0.1643396960602531,0.3364028065824892,0.05528433498758238
0.09300173309042803,0.16806444412608243,0.2856150409447521,0.04800173309042803
0.08055727738305352,0.14454348052388102,0.2459971024233006,0.03555727738305352
0.09269525807602463,0.1713175873959901,0.2784025785150708,0.047695258076024635
0.09212492586931932,0.15588013891773403,0.3023151390324945,0.04712492586931932
0.07923115644143444,0.13009110595969198,0.26313218101198077,0.03423115644143444
0.08026710287820563,0.11424330166256703,0.30870171261656776,0.03526710287820563
0.07757815342144753,0.12499807325957428,0.2606292446907952,0.03257815342144753
0.062453567834911135,0.14334933419757886,0.12175548587379434,0.017453567834911136
0.07264112943906621,0.12577693814567228,0.21976309684890583,0.027641129439066214
0.08946211935589804,0.1370340889963248,0.3244602834342227,0.04446211935589804
0.08012681534396773,0.13329629571596974,0.26352431742601923,0.035126815343967735
0.0910839327186163,0.16458247420154493,0.2800051034728199,0.0460839327186163
0.07431551816568689,0.1403048661604498,0.20894156395233124,0.029315518165686894
0.06887217846806286,0.1559328246155524,0.15309270852316684,0.02387217846806286
0.0740840326640555,0.13545966733745618,0.21470621651241445,0.0290840326640555
0.08320048387243334,0.13815218684788447,0.2765101642183546,0.03820048387243334
0.08080396075134666,0.13067489931806162,0.2739926408070162,0.03580396075134666
0.06565735369742015,0.1537939441404952,0.13431838173386768,0.020657353697420153
0.07870012086983999,0.11129526502979178,0.30279923284084964,0.03370012086983999
0.07344676128504096,0.1407750937514014,0.20207240163715237,0.028446761285040964
0.08796422595252562,0.13079384351535536,0.328488136733145,0.04296422595252562
0.0844471594484342,0.16590511216566192,0.2377694028442286,0.0394471594484342
0.1004651114340652,0.15076709222678686,0.3678860593174635,0.0554651114340652
0.0670574921464755,0.1422639435733135,0.15504625833114566,0.022057492146475496
0.07360677280217891,0.14806150685230537,0.1932087104227218,0.02860677280217891
0.10199135443924769,0.14054974313117763,0.4054888551881352,0.05699135443924769
0.07950062024037663,0.15759372083758286,0.21892128732675334,0.03450062024037663
0.07547644455226388,0.13548616671267,0.22494137439799508,0.03047644455226388
0.0728752730354148,0.14362680530490027,0.19408127178098386,0.027875273035414802
0.0728797517460783,0.12627884408321638,0.2207792758041549,0.027879751746078305
0.09003390340637465,0.1309278315878863,0.3439597437779706,0.045033903406374656
0.08053248649624957,0.13211180868237843,0.2689576870579097,0.03553248649624957
0.07770771860352405,0.1245023007411904,0.26270774442566597,0.03270771860352405
0.08737119629644109,0.1511564126798373,0.28031358739762535,0.042371196296441094
0.08110049840688591,0.11902978655508943,0.3032896172604481,0.03610049840688591
0.08173064784188742,0.1736822924980088,0.21148182300915064,0.036730647841887426
0.07723842533334228,0.13259643854078887,0.24313190978674143,0.032238425333342285
0.0824912659840709,0.11786135701103034,0.31809633738191384,0.037491265984070904
