Asset,Max Drawdown (%),Current Drawdown (%),Max Duration (Days),Recovery Status
S&P 500,-33.71726856597138,-0.28962362844378614,487,Recovered
NASDAQ 100,-35.118721573897055,-0.737503721751885,492,Recovered
Small Cap,-41.13328862641305,-1.1254224339555146,752,In Drawdown
Int'l Developed,-34.193361258347,-1.544569762475647,706,In Drawdown
Emerging Markets,-39.82231987483257,-3.5607268885530536,1143,In Drawdown
REITs,-42.398154587638516,-8.438426339986393,922,In Drawdown
Gold,-22.002168134715518,0.0,897,Recovered
Bonds,-18.58211872065113,-3.625136720652696,1276,In Drawdown
